run,candidate_idx,candidate_name,duration_ns,cpu_cycles,heap_allocs,heap_bytes,system
102,0,Marcus,2409300,24097,77,29824,sequential
102,1,Trey,2445100,24455,77,29824,sequential
102,2,Will,2279000,22794,77,29824,sequential
102,3,George,2276700,22771,77,29824,sequential
102,4,Jess,2520200,25205,77,29824,sequential
103,0,Marcus,2667800,26684,77,29824,sequential
103,1,Trey,2625900,26263,77,29824,sequential
103,2,Will,2476700,24771,77,29824,sequential
103,3,George,2864200,28646,77,29824,sequential
103,4,Jess,2573300,25737,77,29824,sequential
104,0,Marcus,2347300,23477,77,29824,sequential
104,1,Trey,2266300,22667,77,29824,sequential
104,2,Will,2821700,28220,77,29824,sequential
104,3,George,2446600,24470,77,29824,sequential
104,4,Jess,2343400,23439,77,29824,sequential
105,0,Marcus,2433200,24337,77,29824,sequential
105,1,Trey,2366300,23664,77,29824,sequential
105,2,Will,2326400,23268,77,29824,sequential
105,3,George,2467400,24678,77,29824,sequential
105,4,Jess,2269700,22701,77,29824,sequential
106,0,Marcus,3034500,30348,77,29824,sequential
106,1,Trey,2511500,25121,77,29824,sequential
106,2,Will,2456200,24566,79,32136,sequential
106,3,George,2274200,22745,77,29824,sequential
106,4,Jess,2316800,23172,77,29824,sequential
107,0,Marcus,2321900,23223,77,29824,sequential
107,1,Trey,2262000,22624,77,29824,sequential
107,2,Will,2281800,22821,77,29824,sequential
107,3,George,2265300,22657,77,29824,sequential
107,4,Jess,2492000,24925,77,29824,sequential
108,0,Marcus,2840800,28411,77,29824,sequential
108,1,Trey,2462900,24634,77,29824,sequential
108,2,Will,2773100,27736,77,29824,sequential
108,3,George,2283100,22836,77,29824,sequential
108,4,Jess,2396300,23966,77,29824,sequential
109,0,Marcus,2744600,27451,77,29824,sequential
109,1,Trey,2483000,24834,77,29824,sequential
109,2,Will,2391000,23914,77,29824,sequential
109,3,George,2614000,26145,77,29824,sequential
109,4,Jess,2302100,23026,77,29824,sequential
110,0,Marcus,2572900,25734,77,29824,sequential
110,1,Trey,2341100,23416,77,29824,sequential
110,2,Will,2284900,22853,77,29824,sequential
110,3,George,2290300,22907,77,29824,sequential
110,4,Jess,2282200,22826,77,29824,sequential
111,0,Marcus,2531600,25321,77,29824,sequential
111,1,Trey,2301300,23017,77,29824,sequential
111,2,Will,2876400,28769,77,29824,sequential
111,3,George,2246100,22465,77,29824,sequential
111,4,Jess,2276900,22773,77,29824,sequential
112,0,Marcus,2262600,22632,77,29824,sequential
112,1,Trey,2446400,24467,77,29824,sequential
112,2,Will,2794000,27945,77,29824,sequential
112,3,George,2301900,23022,77,29824,sequential
112,4,Jess,2647500,26479,77,29824,sequential
113,0,Marcus,2689600,26900,77,29824,sequential
113,1,Trey,2317800,23181,77,29824,sequential
113,2,Will,2527000,25275,77,29824,sequential
113,3,George,2262700,22630,77,29824,sequential
113,4,Jess,2333100,23336,77,29824,sequential
114,0,Marcus,2957800,29582,77,29824,sequential
